Date,ADV,ALTG,ARKO,ASLE,ATCX,ATNF,AVCT,BFI,BWMX,CERE,CLVR,CURI,DKNG,DM,DMS,DNMR,EOSE,EQOS,FREE,FSR,GB,GCMG,GDYN,GNOG,GOEV,GSMG,HOFV,HPK,HTOO,HYLN,HYMC,ID,IGIC,IMTX,LAZR,LGHL,LPRO,METX,MP,MPLN,NKLA,OPEN,PAE,PAYA,PRCH,QS,RIDE,RMO,RSI,RVPH,SFT,SJ,SKLZ,TLMD,TRIT,TTCF,UK,UTZ,VINC,VLDR,VRT,VVNT,XL
2020-01-02,,,,10.2,10.1814,,,,,,10.13,,,9.99,10.35,,,,10.1,,,10.26,,,,3.0,7.40853832282794,10.355,10.35,9.95,10.36,10.3,,,10.2,,10.55,,,,10.32,,10.36,10.19,,,9.97,9.98,,,,,,,,,,,,10.165,11.22,,
2020-01-03,,10.09,10.03,,10.1225,,,,,,,,,10.0,10.35,,,,10.1,,,10.27,,,,,,10.35,10.34,,10.36,,10.55,10.618,10.25,,10.55,,,,10.3,,10.39,10.18,,,,9.99,,,,,,,9.96,,,,,10.2,11.24,,
2020-01-06,,,10.05,,10.16,,8.805,,,,10.13,,,9.98,10.32,,,,10.1,10.17,,,,9.91,,,7.42964526961662,10.35,10.34,9.99,,10.305,10.55,,10.36,,10.55,,,,10.32,,10.365,,,,10.0,10.05,,,10.05,,,,,10.25,,,,,11.32,,
2020-01-07,,10.11,10.08,10.16,10.1002,,,,,,10.13,,,10.02,10.34,,,,10.11,10.17,,10.27,,9.92,,,7.42964526961662,10.37,,10.02,10.35,,10.56,,,,10.5,,,,10.33,,10.345,10.19,,,9.97,10.0176,,,10.08,,,,9.98,10.24,9.93,,,10.21,11.41,,
2020-01-08,10.9,10.11,10.08,10.15,10.15,10.55,,,,,10.13,10.0,,9.99,10.34,,,,10.11,10.16,,10.27,,10.0,,2.5,,10.36,,10.03,10.36,10.31,10.58,10.5699,10.26,,10.46,,,,10.3418,,10.4,10.1894,,,10.04,10.02,,10.45,10.05,,,,,,9.97,,,10.2,11.45,,
2020-01-09,10.58,10.12,10.11,10.18,10.18,,,10.5,,,10.1412,9.9,,10.04,10.35,,,,10.13,10.17,,10.3,,9.98,,,,10.39,10.34,,,10.33,10.6,10.57,10.29,,10.45,,,,10.35,,10.4,10.2,,,10.04,10.04,,,,,,,10.02,,,,,,11.75,,
2020-01-10,10.59,10.14,10.13,10.155,10.155,,,10.5312,,,,9.9,,10.05,,,,,10.15,10.17,,10.33,,10.0,,2.8,,10.4,,10.03,,10.33,10.61,10.58,10.35,,10.42,,,,10.33,,10.41,10.195,,,10.02,10.02,,,,,,,10.02,,,,,,11.67,,
2020-01-13,10.7,10.17,10.15,10.17,10.1785,,,10.52,,,,9.94,,10.05,10.357999999999999,,,,10.15,,,10.32,,10.02,,3.0980000000000003,,10.385,10.4187,,10.37,10.32,10.575,,10.4,,10.475,,,,10.34,,10.5,10.2,,,10.06,10.04,,,,,,,10.03,,,,,,11.67,,
2020-01-14,10.7,10.18,10.2,10.1641,10.15,,10.05,,,,,,,10.02,10.36,,,,10.15,10.17,,,,,,3.08,7.429926695573799,10.36,10.41,,10.36,,10.6,10.55,10.46,,10.45,,,,10.35,,10.72,10.23,,,10.02,10.02,,10.46,,,,,10.02,10.24,9.92,,,10.19,11.7,,
2020-01-15,10.99,10.185,10.2,10.17,10.15,,,,,,,9.94,,10.05,10.35,,,,10.15,10.19,,10.31,,10.1,,2.7,7.4507522164052995,10.41,10.4499,,10.36,10.33,10.6,,10.5,,10.45,,,,,,10.85,10.25,,,,10.03,,,,,,,,10.24,,,,10.19,11.71,,
2020-01-16,11.0,10.32,10.25,10.18,10.17,,,,,,,,,10.04,10.35,,,,10.155,10.19,,10.33,,9.88,,2.8,,10.385,10.38,10.05,10.38,,10.53,10.6,10.5,,10.47,,,,10.3499,,10.85,10.25,,,10.04,10.04,,,,,,,10.0,10.3,9.95,,,,11.67,,
2020-01-17,10.6,10.32,10.19,10.18,10.1816,,,,,,,9.875,,10.04,10.3485,,,,10.15,10.19,,10.38,,,,2.63001,,10.38,,10.04,10.37,10.11,10.58,10.6,10.55,,10.5,,,,10.34,,10.8,10.2,,,10.04,10.06,,10.45,,,,,10.0,10.3,,,,10.11,11.4,,
2020-01-21,10.75,10.26,10.19,,10.15,,,,,,,,,10.03,10.355,,,,10.15,10.23,,10.4,,9.99,,2.8,7.4437165674757395,10.4,10.4511,10.03,10.35,10.34,10.45,10.6,10.59,,10.5,,,,10.35,,10.75,10.23,,,10.05,10.0529,,,,,,,10.0,10.31,9.98,,,10.19,11.5,10.4,
2020-01-22,,10.28,10.2,10.18,10.16,,,,,,10.15,,,10.03,10.35,,,,10.14,10.21,,10.4,,9.88,,3.468,,10.43,10.415,10.03,10.35,10.32,10.48,10.675,10.6,,10.55,,,,10.35,,10.83,,,,,10.04,,10.5525,,,,,10.0396,10.3,9.96,,,10.1955,11.59,11.5,
2020-01-23,,10.2368,10.2,10.18,10.19,,,10.53,,,,9.94,,10.04,10.36,,,,10.14,10.21,,10.387,,9.95,,,,10.4,10.35,10.07,10.35,10.35,10.45,10.6,10.59,,10.53,,,,10.35,,10.8,10.25,,,10.08,10.04,,,,,,,,10.32,9.95,,,,11.7,11.83,
2020-01-24,,10.23,10.15,10.208,10.19,10.55,,10.546,,,,,,10.0,10.36,,,,10.14,10.19,,,,,,,7.492966109982669,10.43,,10.03,10.36,,10.52,10.61,10.58,,10.5,,,,10.34,,10.715,10.21,,,10.04,,,,,,,,,10.31,,,,10.2,11.91,11.72,
2020-01-27,10.8,10.205,10.18,,10.2,,10.501,10.548,,,,9.88,,10.01,10.42,,,,10.14,10.18,,10.36,,9.97,,,7.492966109982669,10.44,10.43,10.02,10.36,,10.45,10.5782,10.6,,10.54,,,,10.34,,10.57,,,,10.04,10.04,,,,,,,10.01,10.295,,,,10.19,12.16,11.71,
2020-01-28,10.8,10.2,10.19,10.2,10.23,,,,,,10.15,9.9,,10.04,10.43,,,,10.16,10.18,,,,9.97,,,7.48593046105311,10.42,10.44,10.03,10.36,10.35,10.55,10.6,,,10.52,,,,10.345,,10.59,,,,10.04,10.05,,,,,,10.0,10.02,10.28,,,,,12.51,11.8,
2020-01-29,,10.2,10.15,10.2,10.2,,,,,,10.15,9.9,,10.05,10.43,,,,10.15,10.2,,10.4,,,,,,10.43,10.35,10.035,10.37,,10.55,10.413,10.56,,10.5,,,,10.35,,10.47,10.26,,,,10.05,,,10.06,,,10.05,10.03,10.34,,,,,12.63,17.3,
2020-01-30,,10.22,10.18,10.22,10.1501,,10.5,,,,,,,,10.43,,,,10.14,10.18,,,,10.03,,2.3,,10.42,10.35,10.03,10.37,10.36,10.59,10.69,10.6,,10.55,,,,10.3484,,10.36,10.23,,,,10.05,,,,,,,,10.34,,,,10.18,12.49,19.4,
2020-01-31,,10.24,10.18,10.1967,10.205,10.72,,,,,,,,10.0485,10.42,,,,10.12,,,,,10.03,,2.201,7.457787865334869,10.42,10.42,10.03,10.36,10.42,10.5,10.6988,,,10.6341,,,,10.34,,10.37,10.255,,,10.08,10.08,,,,,,,,10.34,,,,10.18,12.4,16.66,
2020-02-03,,10.22,,10.18,10.205,,,,,,,9.91,,10.03,10.43,,,,10.11,10.22,,,,,,,7.47889481212355,10.42,,10.03,10.36,10.4,10.4,10.6292,10.585999999999999,,10.66,,,,10.35,,10.31,10.23,,,10.08,10.08,,,,,,10.0,,10.33,,,,10.2,12.38,14.25,
2020-02-04,,10.22,10.19,10.23,10.22,,,,,,10.13,9.92,,10.06,10.42,,,,10.16,10.22,,,,,,,7.47889481212355,10.42,,10.07,10.36,,10.58,10.5058,10.58,,10.8,,,,10.36,,10.2,,,,10.1,10.08,,10.5,,,,,,10.33,10.03,,,10.18,12.69,12.85,
2020-02-05,10.775,10.27,10.2,10.18,9.3,,,10.57,,,10.13,9.92,,10.07,10.44,,,,10.19,10.2,,,,,,,7.492966109982669,10.41,,,10.29,10.42,10.6,10.7,10.6,,11.0,,,,10.36,,10.62,,,,10.08,10.08,,,10.07,,,,10.02,10.33,10.05,,,10.215,12.79,14.11,
2020-02-06,,10.21,10.2,10.24,9.89,,,10.53,,,10.13,9.935,,10.05,10.57,,,,10.19,,,10.4,,,,,7.40853832282794,10.43,,10.03,10.29,10.42,10.57,10.7,10.605,,10.98,,,,,,11.04,,,,10.1,10.09,,,,,,10.01,10.01,10.32,,,,10.25,12.86,14.23,
