Date,AACQ,ACAC,ACAM,ACEV,ACIC,ACND,ACTC,ADOC,ADRA,AGBA,AGC,AHAC,AJAX,ALAC,ALUS,AMCI,AMHC,ANDA,AONE,APSG,APXT,ARYA,ASAQ,ASPL,ATAC,AVAN,BCTG,BCYP,BFT,BHSE,BLSA,BOAC,BOWX,BREZ,BRLI,BRPA,BSN,BTAQ,BTWN,BWAC,CAPA,CCAC,CCIV,CCX,CCXX,CFII,CGRO,CHAQ,CHPM,CIIC,CLA,CLII,CMLF,CONX,CPSR,CRHC,CRSA,CTAC,DBDR,DCRB,DDMX,DEH,DFHT,DFNS,DFPH,DGNR,DGNS,DMYD,DSAC,DWIN,EDTX,EMPW,ENPC,EQD,ERES,ESSC,ETAC,EUCR,EXPC,FAII,FCAC,FGNA,FIII,FMAC,FPAC,FSDC,FSRV,FST,FTIV,FTOC,FUSE,FVAM,GHIV,GIK,GIX,GLEO,GNRS,GOAC,GRCY,GRNV,GRSV,GSAH,GWAC,GXGX,HEC,HIGA,HLXA,HOL,HPX,HSAQ,HZAC,HZON,IACA,IGAC,IMPX,INAQ,IPOD,IPOE,IPOF,IPV,ITAC,JIH,JWS,JYAC,KSMT,LACQ,LATN,LCAP,LCY,LEAP,LFTR,LGVW,LIVK,LOAC,LSAQ,LUXA,MAAC,MACU,MCAC,MCMJ,MLAC,MOTN,NBA,NBAC,NGA,NGAC,NHIC,NMMC,NOVS,NPA,NSH,OAC,OACB,OTRA,PACE,PAIC,PANA,PCPL,PDAC,PIAI,PMVC,PRPB,PSAC,PSTH,PTK,QELL,RACA,RCHG,RICE,ROCH,RPLA,RTP,SAII,SBE,SBG,SCPE,SCVX,SEAH,SFTW,SGAM,SMMC,SNPR,SOAC,SPNV,SRAC,SRSA,SSPK,STIC,STPK,STWO,SV,SVAC,TDAC,TEKK,THBR,THCA,THCB,TMPM,TMTS,TOTA,TPGY,TREB,TSIA,TWCT,TWND,VACQ,VGAC,VIH,VMAC,VSPR,VYGG,WPF,XPOA,YAC,YSAC,ZGYH
2020-01-02,,,9.99,,,,,,35.2178,,,,,10.35,,10.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.35,,,,,,,,,,,,,10.0,,,,,,,,,,,,,25.64,,,,,,,,,,,,,,,10.3262,,,,,,,,,,9.95,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,,,10.42,9.86,,,,,,,,,,,,,9.74,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,10.05,,,,,,,,9.78,,,,,,9.81,,9.94,,,,,,10.5166,,9.9,9.84,9.97,,,,,,,,,,,,,,,,,,,
2020-01-03,,,,,,,,,34.82,,,,,10.35,,,,,,,9.9,,,,,,,,,,,,,,,10.58,,,,,,,,10.2968,,,,,,,,,,,,,,,,,,,,,,,,,,25.6806,10.25,,,,,,,,9.87,,,,,,10.33,,9.81,,,,,,,,,9.82,,,,9.86,,,,9.94,,,,,,,,,,,,,,,,,,9.8,,,,10.44,9.87,,,,,,,,,,,,,9.7458,,,,,,,,,,9.89,,,,,,,,,,,,,,,,,,,,,10.045,,,,,,,,9.79,,9.88,,,,9.85,,9.94,,,,,,,,,9.84,9.98,,,,,,,,,,,,,,,,,,,
2020-01-06,,,9.99,,,,,,34.7209,,,,,10.36,,10.17,,,,,,,,,,,,,,,,,,,,10.65,,,,,,,,10.3268,,,,,,,,,,,,,10.0,,,,,,,,,,,,,25.68,10.25,,,,,,,,9.88,,,,,,10.33,,9.85,,,,,,,,,9.83,,,,9.86,,,,,,,,,,,,,,,,,,,,,,9.7801,,,,10.44,,,,,,,,,,,,,,9.77,,,,,,,,,,9.89,,,,,,,,,,,,,,,,,,,,,10.04,,,9.82,,9.95,,,,,9.88,,,,,,9.965,,,,,,,,9.92,9.86,10.0,,,,,,,,,,,,,,,,,,,
2020-01-07,,,10.03,,,,,,34.8991,,,,,10.36,,10.2,,,,,9.95,,,,,,,,,,,,,,,,,,,,,,,10.35,,,,,,,,,,,,,,,,,10.2693,,,,,,,,,25.6864,,,,,,,,,,,,,,,10.37,,9.8,,,,,,,,9.97,9.83,,,,9.86,,,,,,,,,,,,,,,,,,,,,,9.82,,,,10.44,,,,,,,,,,,,,,9.75,,,,,,,,,,9.92,,9.92,,,,,,,,,,,,,,,,,,,10.05,,,,,9.96,,,,,,,,,,,9.9802,,,,,,,,9.93,,9.99,,,10.53,,,,,,,,,,,,,,,,
2020-01-08,,,10.03,,,,,,34.96,,,,,10.37,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,10.2148,,,,,,,,,25.685,10.29,,,,,,,,9.92,,,,,,10.4,,9.8,,,,,,,,,,,,,9.88,,,,,,,,,,,,,,,,,,,,,,9.85,,,,10.44,,,,,,,,,,,,,,9.76,,,,,,,,,,,,9.93,,,,,,,,,,,,,,,,,,,,,,9.95,,,,,,,9.92,,,,9.88,,9.95,,,,,,10.52,,9.96,9.87,10.0,,,,,,,,,,,,,,,,,,,
2020-01-09,,,10.04,,,,,,35.242,,,,,,,,,,,,9.95,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,10.01,,,,,,,,,,,,,25.7,10.28,,,,,,,,10.02,,,,,,10.42,,9.85,,,,,,,,9.98,9.84,,,,9.9,,,,9.95,,,,,,,,,,,,,,,,,,9.88,,,,10.43,9.92,,,,,,,,,,,,,9.8,,,,,,,,,,9.92,,9.95,,,,,,,,,,,,,,,,,,,,,,9.94,,9.98,,,,,9.99,,,,9.88,,9.97,,,,,,10.52,,10.01,9.94,10.0,,,,,,,,,,,,,,,,,,,
2020-01-10,,,10.03,,,,,,,,,,,,9.82,,9.82,,,,9.98,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,9.9,,,,,,,,,,,,10.25,,,,,,,,,25.72,10.3,,,,,,,,10.0,,,,,,10.4299,,9.88,,,,,,,,,9.85,,,,9.86,,,,9.97,,,,,,,,,,,,,,,,,,9.83,,,,10.43,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,10.07,,,,,,,,9.9,,9.99,,,,,,9.97,,,,,,,,,9.91,10.01,,,,,,,,,,,,,,,,,,,
2020-01-13,,,10.04,,,,,,35.7644,,,,,,,,9.82,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,10.55,,,,,9.87,,,,,,,,10.0239,,,,10.21,,,,,,,,,25.725,10.29,,,,,,,,10.0,,,,,,10.58,,9.82,,,,,,,,10.0,,,,,,,,,9.99,,,,,,,,,,,,,,,,,,9.85,,,,10.4201,,,,,,,,10.47,,,,,,9.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.13,,,9.93,,9.95,,,9.98,,9.91,,,,,,10.0,,,,,,,,,9.93,10.01,,,,,,,,,,,,,,,,,,,
2020-01-14,,,,,,,,,35.5745,,,,,,9.84,,,10.13,,,,,,,,,,,,,,,,,,,,,,,,,,10.62,,,,,,,,,,,,,10.03,,,,,,,,,,,,,25.7728,10.25,,,,,,,,10.0,,,,,,10.57,,9.87,,,,,,,,9.99,9.84,,,,,,,,10.05,,,,,,,,,,,,,,,,,,9.83,,,,10.42,9.88,,,,,,9.8,10.5,,,,,,9.87,,,,,,,,,,9.94,,,,,,,,,,,,,,,,,,,,,10.09,,,,,,,,9.9,,9.96,,,,,,10.01,,,,,,,,,9.92,10.01,,,10.45,,,,,,,,,,,,,,,,
2020-01-15,,,10.04,,,,,,35.285,,,,,,9.92,10.2,,,,,10.012,,,,,,,0.0065,,,,,,,,,,,,,,,,10.65,,,,,,,,,,,,,10.03,,,,,,,,,,,,,25.82,,,,,,,,,10.0,,,,,,10.57,,,,,,,,,,10.0,9.88,,,,9.85,,,,10.05,,,,,,,,,,,,,,,,,,9.92,,,,10.42,9.95,,,,,,9.8,10.43,,,,,,9.9,,,,,,,,,,9.94,,9.9942,,,,,,,,,,,,,,,,,,,10.09,,,,,10.035,,,9.9,,9.95,,,,,,,,,,,,,,10.12,,10.01,,,,,,,,,,,,,,,,,,,
